110.915,110.915,52.24,3
111.063,111.063,52.591,5
111.089,111.089,52.467,5
111.112,111.112,47.586,3
111.117,111.117,49.929,3
111.12,111.12,53.08,5
111.12,111.12,51.236,3
111.121,111.121,52.137,5
111.123,111.123,52.208,5
111.129,111.129,51.324,3
111.135,111.135,50.978,3
111.172,111.172,52.312,5
111.181,111.181,51.202,3
111.182,111.182,50.758,3
111.197,111.197,52.136,5
111.197,111.197,52.592,5
111.205,111.205,53.101,5
111.213,111.213,52.168,5
111.215,111.215,51.408,3
111.226,111.226,53.64,5
111.24,111.24,51.654,3
111.244,111.244,52.586,4
111.248,111.248,52.54,5
111.249,111.249,52.235,5
111.25,111.25,51.364,3
111.252,111.252,53.313,5
111.254,111.254,50.371,3
111.255,111.255,51.297,3
111.256,111.256,52.69,5
111.26,111.26,53.112,5
111.261,111.261,52.205,4
111.264,111.264,52.251,4
111.264,111.264,51.452,3
111.27,111.27,50.364,3
111.273,111.273,52.595,5
111.279,111.279,52.915,5
111.279,111.279,52.251,4
111.29,111.29,51.688,3
111.291,111.291,53.111,5
111.296,111.296,53.102,5
111.297,111.297,51.911,4
111.298,111.298,50.379,3
111.301,111.301,52.356,4
111.301,111.301,52.451,5
111.302,111.302,52.606,5
111.303,111.303,52.207,4
111.309,111.309,52.561,5
111.313,111.313,51.627,3
111.316,111.316,53.143,5
111.319,111.319,52.676,5
111.324,111.324,51.903,3
111.325,111.325,51.684,3
111.327,111.327,51.865,3
111.327,111.327,51.77,3
111.329,111.329,52.014,4
111.331,111.331,52.844,5
111.337,111.337,52.783,5
111.34,111.34,51.857,4
111.346,111.346,52.445,5
111.347,111.347,52.554,5
111.347,111.347,51.735,4
111.348,111.348,52.198,4
111.354,111.354,52.114,4
111.357,111.357,50.384,3
111.362,111.362,51.098,3
111.363,111.363,52.174,4
111.365,111.365,52.651,5
111.365,111.365,52.262,4
111.367,111.367,52.681,5
111.37,111.37,52.807,5
111.372,111.372,51.391,4
111.374,111.374,52.56,5
111.383,111.383,53.108,5
111.385,111.385,51.77,3
111.388,111.388,51.714,3
111.389,111.389,52.676,5
111.392,111.392,50.895,3
111.392,111.392,52.573,5
111.393,111.393,50.663,3
111.394,111.394,52.164,4
111.4,111.4,52.134,4
111.403,111.403,52.808,5
111.413,111.413,51.964,4
111.415,111.415,52.018,4
111.415,111.415,52.537,5
111.422,111.422,51.67,4
111.427,111.427,52.28,4
111.432,111.432,51.602,4
111.441,111.441,52.286,4
111.441,111.441,53.025,5
111.444,111.444,52.133,4
111.446,111.446,52.319,4
111.448,111.448,51.058,3
111.451,111.451,51.387,4
111.454,111.454,52.317,4
111.455,111.455,52.644,4
111.46,111.46,52.976,5
111.47,111.47,52.358,5
111.471,111.471,52.273,4
111.472,111.472,52.636,5
111.474,111.474,52.811,5
111.49,111.49,52.024,4
111.492,111.492,52.291,4
111.496,111.496,52.344,4
111.496,111.496,52.595,5
111.498,111.498,52.594,5
111.5,111.5,52.589,5
111.502,111.502,52.029,3
111.513,111.513,52.612,5
111.524,111.524,51.344,4
111.525,111.525,50.675,3
111.541,111.541,52.65,5
111.639,111.639,52.334,4
111.677,111.677,52.361,4
111.709,111.709,52.372,4
111.79,111.79,52.267,4
111.81,111.81,52.18,3
111.919,111.919,52.447,5
113.999,113.999,52.641,2
114.074,114.074,52.898,1
114.18,114.18,52.382,1
114.228,114.228,53.312,1
114.37,114.37,51.738,1
114.379,114.379,53.292,1
114.423,114.423,52.687,1
114.423,114.423,52.379,1
114.43,114.43,53.359,1
114.455,114.455,52.426,1
114.487,114.487,51.9,1
114.514,114.514,52.628,2
114.551,114.551,52.511,2
114.572,114.572,52.373,2
114.627,114.627,52.754,2
114.678,114.678,52.964,2
114.743,114.743,52.496,1
114.744,114.744,52.887,2
114.793,114.793,52.476,1
114.858,114.858,53.271,2
114.884,114.884,52.778,2
114.93,114.93,52.412,2
114.994,114.994,52.842,2
115.054,115.054,53.031,2
115.076,115.076,53.031,2
115.085,115.085,52.551,2
115.203,115.203,52.748,2
115.573,115.573,52.916,2